trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.99}",20,0,-193.98380727029993,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.1, 'e': 0.98}",20,0,-65.49539324040077,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.97}",20,0,-27.674803765782684,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.96}",30,0,-151.76792366350648,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.1, 'e': 0.95}",30,0,-189.6886507203986,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.1, 'e': 0.94}",25,0,-185.53677959828516,"{0: 11, 1: 6, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.9299999999999999}",20,0,-255.53416985594862,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 5}",0
8,False,"{'a': 0.1, 'e': 0.9199999999999999}",20,0,-179.78916366133288,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0
9,False,"{'a': 0.1, 'e': 0.9099999999999999}",35,15,-71.8339527826164,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",1
10,False,"{'a': 0.1, 'e': 0.8999999999999999}",25,0,-117.50365406767907,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.8899999999999999}",20,0,-106.55805873165582,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.8799999999999999}",20,0,-52.638651287068804,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.8699999999999999}",25,0,-111.47531243674675,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.8599999999999999}",30,0,-157.95565906803708,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.8499999999999999}",25,0,-141.4536318698959,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.8399999999999999}",20,3,-95.40964081558207,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 2}",1
17,False,"{'a': 0.1, 'e': 0.8299999999999998}",30,0,-119.56095548991377,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.8199999999999998}",30,0,-161.519055771581,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.1, 'e': 0.8099999999999998}",25,0,-155.35951570589387,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
20,False,"{'a': 0.1, 'e': 0.7999999999999998}",25,0,-104.65406295493258,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
21,False,"{'a': 0.1, 'e': 0.7899999999999998}",20,0,-66.96148012817969,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
22,False,"{'a': 0.1, 'e': 0.7799999999999998}",20,0,-97.26264535915077,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
23,False,"{'a': 0.1, 'e': 0.7699999999999998}",20,0,-115.81730114845178,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
24,False,"{'a': 0.1, 'e': 0.7599999999999998}",25,0,-107.30425822945145,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
25,False,"{'a': 0.1, 'e': 0.7499999999999998}",30,4,-69.18383556590398,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 1}",1
26,False,"{'a': 0.1, 'e': 0.7399999999999998}",30,0,-80.44465807080246,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.1, 'e': 0.7299999999999998}",30,8,-119.3952200929359,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 2}",1
28,False,"{'a': 0.1, 'e': 0.7199999999999998}",20,7,-50.32347695436466,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 0}",1
29,False,"{'a': 0.1, 'e': 0.7099999999999997}",20,0,-142.48053086271796,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
30,False,"{'a': 0.1, 'e': 0.6999999999999997}",20,0,-67.77848779620716,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
