/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('forward', 'red', None, 'left', 'forward')
 -- forward : -4.09
 -- right : 0.00
 -- None : 0.27
 -- left : 0.00

('forward', 'red', 'forward', 'forward', 'forward')
 -- forward : -3.97
 -- right : 0.00
 -- None : 0.11
 -- left : 0.00

('forward', 'red', None, None, 'forward')
 -- forward : -7.58
 -- right : 0.04
 -- None : 0.61
 -- left : -3.92

('forward', 'green', 'forward', 'left', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'left', None, 'right')
 -- forward : -0.94
 -- right : 0.00
 -- None : 0.13
 -- left : 0.00

('right', 'green', None, 'right', None)
 -- forward : 0.00
 -- right : 0.90
 -- None : -0.58
 -- left : 0.00

('forward', 'green', 'left', 'forward', 'left')
 -- forward : 0.12
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'green', 'forward', 'left', 'left')
 -- forward : 0.29
 -- right : 0.00
 -- None : 0.00
 -- left : -1.97

('right', 'red', None, 'left', 'left')
 -- forward : -2.88
 -- right : 0.14
 -- None : 0.00
 -- left : -1.03

('left', 'green', None, 'forward', None)
 -- forward : 0.00
 -- right : 0.23
 -- None : -1.45
 -- left : 0.73

('right', 'red', 'left', 'left', 'forward')
 -- forward : -4.03
 -- right : 0.04
 -- None : 0.00
 -- left : 0.00

('right', 'red', None, 'right', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'left', 'right', None)
 -- forward : -0.99
 -- right : 0.00
 -- None : 0.00
 -- left : -1.04

('forward', 'red', 'forward', 'right', 'forward')
 -- forward : 0.00
 -- right : -0.05
 -- None : 0.00
 -- left : 0.00

('left', 'green', 'right', None, 'right')
 -- forward : 0.18
 -- right : -0.07
 -- None : -0.57
 -- left : -2.05

('forward', 'red', 'right', None, 'left')
 -- forward : 0.00
 -- right : 0.05
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'left', None, 'forward')
 -- forward : -4.06
 -- right : 0.31
 -- None : 0.00
 -- left : 0.00

('forward', 'red', None, 'right', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.10
 -- left : 0.00

('forward', 'green', 'left', None, 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.41

('right', 'green', 'forward', 'left', None)
 -- forward : 0.28
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'green', 'forward', None, 'left')
 -- forward : 0.03
 -- right : 0.00
 -- None : 0.00
 -- left : -3.68

('forward', 'red', 'right', 'forward', None)
 -- forward : -4.09
 -- right : -2.07
 -- None : 0.17
 -- left : 0.00

('left', 'red', 'right', 'left', None)
 -- forward : 0.00
 -- right : 0.15
 -- None : 0.00
 -- left : -4.01

('right', 'green', 'right', None, None)
 -- forward : -0.00
 -- right : 0.26
 -- None : 0.00
 -- left : -1.92

('right', 'red', 'forward', None, 'left')
 -- forward : 0.00
 -- right : 0.42
 -- None : 0.00
 -- left : 0.00

('forward', 'red', None, 'forward', None)
 -- forward : -16.31
 -- right : -2.04
 -- None : 0.46
 -- left : -10.94

('right', 'green', None, 'right', 'right')
 -- forward : 0.09
 -- right : 0.00
 -- None : -0.49
 -- left : 0.00

('left', 'red', 'forward', 'left', None)
 -- forward : -0.97
 -- right : 0.00
 -- None : 0.60
 -- left : 0.00

('forward', 'red', None, 'left', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -1.05

('forward', 'green', 'left', 'right', None)
 -- forward : 0.00
 -- right : 0.15
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'left', 'right', 'forward')
 -- forward : 0.00
 -- right : 0.11
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'forward', None, None)
 -- forward : -1.88
 -- right : 1.12
 -- None : 0.40
 -- left : -2.04

('forward', 'red', None, 'forward', 'left')
 -- forward : -7.70
 -- right : -2.09
 -- None : 0.16
 -- left : -4.09

('right', 'red', 'forward', 'right', None)
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -1.08

('left', 'green', 'right', 'right', None)
 -- forward : 0.01
 -- right : 0.00
 -- None : 0.00
 -- left : -2.00

('left', 'red', 'forward', 'right', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -0.98

('right', 'red', None, 'right', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.19
 -- left : 0.00

('left', 'green', 'right', None, None)
 -- forward : 0.01
 -- right : 0.00
 -- None : 0.00
 -- left : -3.67

('forward', 'red', 'forward', None, 'forward')
 -- forward : -3.90
 -- right : 0.00
 -- None : 0.35
 -- left : 0.00

('left', 'green', 'forward', None, 'forward')
 -- forward : -0.00
 -- right : 0.14
 -- None : -0.53
 -- left : -1.96

('right', 'green', None, 'right', 'left')
 -- forward : -0.02
 -- right : 0.00
 -- None : 0.00
 -- left : 0.14

('left', 'red', None, None, 'forward')
 -- forward : -7.62
 -- right : 0.03
 -- None : 0.79
 -- left : -4.02

('right', 'red', 'forward', None, 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.03
 -- left : 0.00

('right', 'red', 'right', 'forward', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.02
 -- left : 0.00

('left', 'green', 'forward', 'forward', 'left')
 -- forward : 0.00
 -- right : 0.14
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'forward', 'forward', None)
 -- forward : -4.05
 -- right : -2.01
 -- None : 0.12
 -- left : -7.62

('forward', 'green', 'right', 'forward', 'forward')
 -- forward : 0.00
 -- right : 0.14
 -- None : 0.00
 -- left : 0.00

('left', 'red', None, 'left', None)
 -- forward : -1.80
 -- right : 0.32
 -- None : 0.97
 -- left : -1.03

('forward', 'green', None, 'right', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : -0.50
 -- left : 0.00

('left', 'green', 'forward', 'left', 'forward')
 -- forward : 0.00
 -- right : 0.21
 -- None : -0.46
 -- left : 0.00

('left', 'green', 'right', 'forward', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : -0.42
 -- left : 0.00

('right', 'green', None, None, None)
 -- forward : 0.67
 -- right : 1.91
 -- None : -2.55
 -- left : 0.35

('left', 'red', 'right', 'right', None)
 -- forward : 0.00
 -- right : 0.17
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'left', None, None)
 -- forward : -7.35
 -- right : 0.77
 -- None : 0.55
 -- left : -3.44

('left', 'red', 'forward', None, 'right')
 -- forward : -0.98
 -- right : 0.00
 -- None : 0.59
 -- left : 0.00

('forward', 'red', 'left', 'left', 'left')
 -- forward : 0.00
 -- right : 0.13
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'forward', 'forward', 'left')
 -- forward : -4.02
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'green', 'left', None, 'forward')
 -- forward : 0.10
 -- right : 0.00
 -- None : -0.53
 -- left : 0.00

('left', 'green', 'forward', 'right', None)
 -- forward : 0.12
 -- right : 0.10
 -- None : 0.00
 -- left : -2.05

('right', 'green', 'forward', 'forward', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : -0.56
 -- left : -1.99

('right', 'green', None, 'forward', 'right')
 -- forward : 0.00
 -- right : 0.27
 -- None : 0.00
 -- left : 0.16

('right', 'green', 'left', 'right', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'left', 'right', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.25
 -- left : 0.00

('forward', 'green', None, None, 'right')
 -- forward : 0.00
 -- right : 0.10
 -- None : -0.92
 -- left : 0.48

('left', 'green', 'left', 'right', 'left')
 -- forward : 0.00
 -- right : 0.13
 -- None : -0.58
 -- left : 0.00

('left', 'red', 'left', 'right', 'left')
 -- forward : 0.00
 -- right : 0.06
 -- None : 0.00
 -- left : 0.00

('forward', 'green', None, 'forward', 'left')
 -- forward : 0.16
 -- right : 0.07
 -- None : -0.55
 -- left : 0.00

('right', 'green', 'forward', None, None)
 -- forward : 0.07
 -- right : 0.44
 -- None : -1.23
 -- left : -2.00

('right', 'red', None, 'left', 'right')
 -- forward : -0.97
 -- right : 0.44
 -- None : 0.00
 -- left : -0.99

('left', 'red', None, None, 'right')
 -- forward : 0.00
 -- right : 0.07
 -- None : 0.85
 -- left : -1.80

('right', 'green', 'left', 'left', None)
 -- forward : 0.00
 -- right : 0.51
 -- None : 0.00
 -- left : 0.00

('forward', 'green', 'forward', 'left', 'right')
 -- forward : 0.00
 -- right : 0.06
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'right', 'left', None)
 -- forward : 0.00
 -- right : 0.01
 -- None : 0.00
 -- left : 0.00

('right', 'green', 'left', 'right', None)
 -- forward : 0.00
 -- right : 0.24
 -- None : 0.00
 -- left : 0.00

('forward', 'green', 'forward', None, None)
 -- forward : 1.12
 -- right : 0.46
 -- None : -2.16
 -- left : -2.08

('left', 'red', 'left', 'forward', 'forward')
 -- forward : -3.97
 -- right : 0.00
 -- None : 0.41
 -- left : 0.00

('right', 'green', None, 'forward', 'left')
 -- forward : 0.20
 -- right : 0.63
 -- None : -0.58
 -- left : 0.11

('right', 'red', 'left', 'left', None)
 -- forward : -1.94
 -- right : 0.00
 -- None : 0.26
 -- left : 0.00

('right', 'red', None, 'left', 'forward')
 -- forward : -3.94
 -- right : 0.00
 -- None : 0.00
 -- left : -7.55

('left', 'red', None, 'left', 'right')
 -- forward : -0.98
 -- right : 0.00
 -- None : 0.47
 -- left : 0.00

('forward', 'red', None, None, 'right')
 -- forward : -0.93
 -- right : 0.00
 -- None : 0.34
 -- left : -1.90

('right', 'green', 'left', 'right', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.19

('right', 'red', 'left', 'forward', None)
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.14
 -- left : -7.62

('right', 'red', None, 'forward', 'forward')
 -- forward : 0.00
 -- right : -2.03
 -- None : 0.00
 -- left : -7.70

('forward', 'green', 'right', 'forward', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'green', 'forward', 'left', None)
 -- forward : -0.02
 -- right : 0.00
 -- None : -0.52
 -- left : -1.99

('forward', 'green', None, 'left', 'right')
 -- forward : 0.00
 -- right : 0.11
 -- None : -0.48
 -- left : 0.00

('left', 'red', 'forward', None, 'forward')
 -- forward : -7.57
 -- right : 0.00
 -- None : 0.33
 -- left : 0.00

('right', 'green', None, 'forward', 'forward')
 -- forward : 0.27
 -- right : 0.00
 -- None : -0.45
 -- left : 0.01

('left', 'red', None, 'left', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.53
 -- left : 0.00

('left', 'red', 'right', 'forward', None)
 -- forward : 0.00
 -- right : -2.00
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'forward', 'left', 'left')
 -- forward : -1.03
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'green', 'left', None, 'left')
 -- forward : 0.07
 -- right : 0.00
 -- None : -0.41
 -- left : 0.41

('left', 'red', None, 'forward', 'left')
 -- forward : -10.89
 -- right : -5.42
 -- None : 0.34
 -- left : 0.00

('forward', 'green', None, None, 'forward')
 -- forward : 0.00
 -- right : 0.58
 -- None : 0.00
